"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sin3b",3.71579632818287e-43,-0.324862669118393,0.379,0.227,9.2798297500039e-39
"Psmb6",3.78982795768378e-43,0.267577544986997,0.706,0.381,9.46471634151947e-39
"Epas1",3.96201428822734e-43,-1.26637332063292,0.096,0.257,9.89473448341895e-39
"Jtb",4.15709350924375e-43,0.0986109366945509,0.386,0.135,1.03819253299853e-38
"H2afj",4.3336661395153e-43,-0.65413480825595,0.299,0.24,1.08228978168255e-38
"Malsu1",4.40908073793972e-43,0.25790743218087,0.326,0.075,1.10112382349307e-38
"Snx4",4.4177818557734e-43,0.168192040193226,0.457,0.186,1.10329684066085e-38
"Rnaset2a",4.43771033785884e-43,0.24638756425014,0.343,0.086,1.10827377977687e-38
"Psmb7",4.49500710980613e-43,-0.0515793245753579,0.333,0.126,1.12258307560298e-38
"Gm15151",4.49812220476968e-43,0.670403762428809,0.315,0.039,1.12336103941918e-38
"Purb",4.72829397688898e-43,-0.275359428424744,0.532,0.328,1.18084413778825e-38
"Ddx6",5.36001094501632e-43,-0.535849729221776,0.432,0.319,1.33860913340838e-38
"Cacna1c",5.46717189553026e-43,0.581238830034524,0.27,0.013,1.36537150918973e-38
"Lamp1",5.58049655044424e-43,-0.296572407334323,0.659,0.475,1.39367320850794e-38
"Sltm",5.7401592518836e-43,-0.111939933656061,0.474,0.229,1.43354737156541e-38
"Hnrnpf",6.06089810370501e-43,-0.602074919023886,0.287,0.238,1.51364869241929e-38
"Echdc2",6.09602412099127e-43,0.540902276250917,0.264,0.011,1.52242106397636e-38
"Psme2",6.11452888006024e-43,-0.347388876685214,0.465,0.287,1.52704244250624e-38
"Eif3d",6.1768248782462e-43,-0.262879549174663,0.422,0.233,1.54260024509321e-38
"1110008F13Rik",6.25329723418463e-43,0.188226982655449,0.422,0.15,1.56169845126527e-38
"Ivd",6.41683979989882e-43,0.568767481182209,0.329,0.041,1.60254157162673e-38
"Filip1",6.72992398067799e-43,-0.143193349028682,0.362,0.154,1.68073121493452e-38
"Slc31a1",6.90002703668554e-43,0.181227532624097,0.292,0.064,1.72321275214185e-38
"Nsfl1c",6.96009372935392e-43,-0.00890835224554531,0.343,0.122,1.73821380796885e-38
"Hnrnpl",7.15148770441938e-43,-0.53331228524772,0.369,0.272,1.7860125393017e-38
"Naa50",7.57014408043801e-43,0.152788725856977,0.474,0.186,1.89056778264859e-38
"Scd2",7.62446972354593e-43,0.496793329306427,0.414,0.101,1.90413506875836e-38
"Cuta",8.43101038440402e-43,0.0644722205794072,0.434,0.178,2.10556053340106e-38
"Psmb3",8.6491544284833e-43,-0.037703696085291,0.557,0.296,2.16003982696942e-38
"Lamtor4",9.31055649885057e-43,0.200337624552919,0.361,0.103,2.32521838002294e-38
"Taldo1",1.02936185824853e-42,-0.0335567094056217,0.493,0.244,2.57072830478989e-38
"Reep3",1.06329655935553e-42,-1.13417136237077,0.193,0.293,2.6554768273345e-38
"Pbrm1",1.14890209324889e-42,-0.2667788330347,0.497,0.306,2.86926808767977e-38
"Srp14",1.16968266252428e-42,-0.186953991760916,0.586,0.368,2.92116548138814e-38
"Lamtor5",1.21810312924121e-42,-0.357364696172449,0.377,0.216,3.04209075496699e-38
"Tmem176b",1.22295598901346e-42,-0.0350587865868307,0.354,0.139,3.05421028696221e-38
"Srpr",1.23281293378059e-42,-0.584103554033406,0.36,0.261,3.07882702082365e-38
"Rgs2",1.23542586895089e-42,0.443344380839918,0.329,0.06,3.08535256511794e-38
"Rock1",1.24278630356346e-42,-0.262540307668572,0.537,0.328,3.1037345145194e-38
"Slc48a1",1.2714148108674e-42,0.42124224572269,0.33,0.058,3.17523134866025e-38
"Ddx46",1.32496685705383e-42,-0.530695143080769,0.331,0.212,3.30897222880624e-38
"Myh10",1.3603438973331e-42,-0.661679399139605,0.386,0.272,3.39732284919969e-38
"Xrn2",1.38514693188781e-42,-0.268637461615058,0.384,0.199,3.45926594769661e-38
"Smpd1",1.3953403446626e-42,0.427798309821404,0.32,0.049,3.48472297676037e-38
"Zmynd11",1.51691503787988e-42,-0.0920347511133188,0.558,0.323,3.78834361560122e-38
"Clu",1.52752157140694e-42,1.68460924456563,0.361,0.056,3.81483237243168e-38
"Tceb2",1.54470676327984e-42,-0.284714402252914,0.707,0.516,3.85775067061507e-38
"RP23-455C13.7",1.57713177744686e-42,0.597376533838186,0.253,0.009,3.93872890099579e-38
"Rtn3",1.58932072331719e-42,-0.0827772589374964,0.526,0.291,3.96916957441236e-38
"Tiprl",1.6079932383683e-42,0.105011776930051,0.399,0.146,4.01580231350098e-38
"Rsu1",1.61207372501314e-42,-0.719763355368422,0.324,0.298,4.02599292084782e-38
"Cops7a",1.63445373290915e-42,0.248520398259809,0.414,0.139,4.08188475256731e-38
"Uba5",1.70741428809644e-42,-0.194190608578501,0.299,0.133,4.26409644309205e-38
"Prkag2",1.75364652003447e-42,0.546185023100366,0.278,0.019,4.37955681913408e-38
"Hnrnpa2b1",1.75748130334797e-42,-0.422984133756858,0.908,0.779,4.38913380698122e-38
"Tmem234",1.76715255406868e-42,-0.129926448180897,0.522,0.291,4.41328678853113e-38
"Pcbp1",1.78566318562931e-42,-0.422845059373361,0.535,0.39,4.45951523979065e-38
"Mrps18c",1.81947784127506e-42,0.15456244732057,0.45,0.178,4.54396396080033e-38
"Larp1b",1.83010904979874e-42,0.380921384596693,0.396,0.107,4.57051434096738e-38
"As3mt",1.86237801125566e-42,0.288154448758389,0.314,0.062,4.65110284530989e-38
"Celf2",1.97462550744784e-42,0.423032317317055,0.395,0.096,4.93142974230023e-38
"Ak3",2.05191527576007e-42,0.304141334429422,0.368,0.094,5.1244532096832e-38
"Sec13",2.06244207614516e-42,-0.231723242024511,0.414,0.231,5.15074284096493e-38
"Gng5",2.08754275352432e-42,-0.390199030948411,0.474,0.321,5.21342927265163e-38
"Lims1",2.13140871436631e-42,-0.299420631695641,0.486,0.306,5.32298012325842e-38
"Psmd11",2.31370890288827e-42,0.00169790366128986,0.435,0.188,5.77825661407316e-38
"Psmb4",2.32704488754399e-42,0.415275123831063,0.712,0.366,5.81156190215235e-38
"Gspt1",2.33706643375072e-42,0.0496897387628332,0.451,0.193,5.83658971164905e-38
"S100a6",2.36199955870019e-42,-2.03583925713164,0.088,0.278,5.89885769789785e-38
"Cnbp",2.58248105750964e-42,0.0302100384125858,0.774,0.493,6.44948819302458e-38
"Osgep",2.5828587599416e-42,0.0203987518971891,0.314,0.103,6.45043146707815e-38
"Eif2s2",2.65748041151647e-42,-0.138878756057015,0.598,0.37,6.63679157972123e-38
"Maged2",2.68022141349408e-42,-0.139563744303801,0.385,0.184,6.69358495806013e-38
"Nisch",2.8447107711369e-42,-0.269137661745929,0.371,0.193,7.10438067983729e-38
"Eef1b2",2.97387723079999e-42,-0.170579032624153,0.678,0.454,7.4269609961999e-38
"Tmem14c",3.10104991788186e-42,0.0241163527100954,0.432,0.184,7.74456206491815e-38
"Use1",3.10189918940472e-42,-0.0615160873885059,0.422,0.195,7.74668303561936e-38
"Nedd8",3.18819393561368e-42,-0.00135561171291276,0.632,0.37,7.9621955348016e-38
"Tmed5",3.40358074442304e-42,-0.728970555264053,0.264,0.231,8.5001025511221e-38
"Mitf",3.42661800651543e-42,0.66414338894664,0.279,0.017,8.55763580947163e-38
"1810037I17Rik",3.45138004022589e-42,-0.302530104126304,0.556,0.36,8.61947651246014e-38
"Pfdn2",3.47232274562432e-42,-0.342503770268207,0.35,0.208,8.67177882492217e-38
"Rps10-ps1",3.60681222981019e-42,-0.19872774354884,0.303,0.143,9.00765286272796e-38
"Tesc",3.88783065985056e-42,0.501442106374633,0.286,0.03,9.70946828991078e-38
"Adsl",3.95004515572316e-42,0.404130711184341,0.295,0.039,9.86484277190303e-38
"Abhd11",4.01966174684414e-42,0.458881685762788,0.332,0.058,1.00387032465686e-37
"Paip1",4.06583247279186e-42,0.13835474592225,0.431,0.165,1.01540100175504e-37
"Rer1",4.09921913589642e-42,-0.325352002182157,0.398,0.231,1.02373898699877e-37
"Iqsec2",4.29235059240882e-42,0.533335293148589,0.279,0.019,1.07197163694818e-37
"Chchd4",4.37392077373104e-42,0.455500774137597,0.312,0.047,1.09234297403159e-37
"Cxx1b",4.44771640056085e-42,-0.31841431667891,0.328,0.167,1.11077269387607e-37
"Ralb",5.08208028038407e-42,-0.740413206985199,0.265,0.24,1.26919872922312e-37
"Tm2d1",5.24434724277778e-42,0.221623998796332,0.371,0.111,1.30972328041132e-37
"Lrrc14b",5.56102330135237e-42,0.600811448069006,0.277,0.017,1.38880995927974e-37
"Pdcl3",5.76317676085025e-42,0.217402353355958,0.451,0.169,1.43929576425474e-37
"Cdkn1b",5.86803690834854e-42,-0.763696659114548,0.322,0.289,1.46548353749096e-37
"Dctn3",5.87599469577825e-42,0.0727943652322565,0.473,0.206,1.46747091532366e-37
"Rfk",5.95956290026365e-42,-0.420342972576968,0.312,0.193,1.48834123871184e-37
"Polr2g",6.38333362844632e-42,-0.0576135993049632,0.405,0.18,1.59417374036818e-37
"Zcrb1",6.76084292170586e-42,0.175542808487041,0.576,0.274,1.68845291126682e-37
"G3bp1",6.97576395383668e-42,-0.155617916561925,0.391,0.197,1.74212728983117e-37
"Homer2",7.12300223166734e-42,0.611503009279778,0.28,0.019,1.7788985773366e-37
"Antxr2",7.54659492098511e-42,0.481153440233518,0.35,0.064,1.88468661556682e-37
"B230219D22Rik",7.64099201715274e-42,-0.279973158118931,0.496,0.313,1.90826134636373e-37
"Cat",7.71735931721591e-42,0.264209853195617,0.362,0.099,1.9273333158815e-37
"Gm42418",7.7585041831532e-42,-0.294147388512853,0.636,0.439,1.93760883470068e-37
"Polr2f",8.05747843615802e-42,0.0935728256318893,0.493,0.216,2.0122746646461e-37
"Creg1",8.37358710172137e-42,-0.227717861286778,0.377,0.197,2.0912196427839e-37
"Pde3a",9.18647557510179e-42,0.568818806818616,0.31,0.039,2.29423041012592e-37
"Kif5b",9.24179812079954e-42,-0.0334430469825997,0.73,0.469,2.30804666268848e-37
"Rilpl1",1.00889814545954e-41,0.383221971854183,0.38,0.099,2.51962222847065e-37
"Ptpn11",1.01523826405483e-41,-0.0377109031599225,0.42,0.182,2.53545604065053e-37
"Upp1",1.11514747961066e-41,0.271234258181772,0.293,0.056,2.78496931557966e-37
"Vcl",1.14438260251627e-41,0.155620260646932,0.357,0.111,2.85798111152414e-37
"Arhgap5",1.14737064596349e-41,-0.211632945758566,0.408,0.203,2.86544345122921e-37
"Pitpna",1.16046642748298e-41,-0.370218802182315,0.379,0.229,2.898148855996e-37
"Ssrp1",1.17014525800635e-41,-0.734476463258618,0.361,0.323,2.92232076734507e-37
